PROYECTO_ID;ORIGEN_ID;CLIENTE_ID;EMPRESA_ID;FOLIO;CORTO;NOMBRE;CONTRATO;HORAS;COSTO;COSTO_DESCUENTO;COSTO_TOTAL;INICIO;TERMINO;ESTATUS;BRM;DESCUENTO;ANEXO;ORDEN;ADMON;RESPONSABLE_VTA;CODIGO_PROYECTO;MONEDA_ID;COMENTARIOS;CODIGO_PRY_BANCO;RESPONSABLE_PRY_CLIENTE;RESPONSABLE_PTO;AREA_INTERNA_ID;PORCENTAJE_AVANCE;OPORTUNIDAD_ID;TIPO_SERVICIO_ID;PRIORIDAD;CONSECUTIVO;ANO;CODIGO_CLIENTE;ASIGNACION_ID;PROYECTO_ID;NOMINA_ID;ANO1;ene-01;feb-01;mar-01;abr-01;may-01;jun-01;jul-01;ago-01;sep-01;oct-01;nov-01;dic-01;ANO2;ene-02;feb-02;mar-02;abr-02;may-02;jun-02;jul-02;ago-02;sep-02;oct-02;nov-02;dic-02;ANO3;ene-03;feb-03;mar-03;abr-03;may-03;jun-03;jul-03;ago-03;sep-03;oct-03;nov-03;dic-03;ASIGNA_INICIO;ASIGNA_FIN
110;1;9;1;P13-1027;13-21 ST CNBV Ext. 3;P13-1027 Interbank Payments And Wireless Transfer Regulation;1068079343;1496;574400;574400;459520;08/01/2013;10/31/2013;CERRADO;2436810;0;ITW Anexo 7;20700;N;1;;21;;;;21;;;;1;Bajo;;;;228;110;75;2013;;;;;;;;16;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;1;9;1;P13-1027;13-21 ST CNBV Ext. 3;P13-1027 Interbank Payments And Wireless Transfer Regulation;1068079343;1496;574400;574400;459520;08/01/2013;10/31/2013;CERRADO;2436810;0;ITW Anexo 7;20700;N;1;;21;;;;21;;;;1;Bajo;;;;229;110;52;2013;;;;;;;;152;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;1;9;1;P13-1027;13-21 ST CNBV Ext. 3;P13-1027 Interbank Payments And Wireless Transfer Regulation;1068079343;1496;574400;574400;459520;08/01/2013;10/31/2013;CERRADO;2436810;0;ITW Anexo 7;20700;N;1;;21;;;;21;;;;1;Bajo;;;;230;110;55;2013;;;;;;;;152;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;1;9;1;P13-1363;13-26  Tester BNP Impuestos II;P13-1363 ProyectoTech (Portafoio AER;1068084457;200;55460;47695.6;23847.8;08/01/2013;08/31/2013;CERRADO;2460256;14;ITW Anexo 7;20700;N;1;;21;;;;21;;;;1;Bajo;;;;241;113;48;2013;;;;;;;;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;1;9;1;P13-2058;13-38 ST Scale Out;P13-2058 IT Improve COB &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;1;9;1;P13-2058;13-38 ST Scale Out;P13-2058 IT Improve COB &amp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;1;9;1;P13-2151;13-46 Tester Jorge Collazo;P13-2151 Implementar Regla SAT Impuestos Aduanales;1068120805;240;49914;39931.2;35938.08;02/01/2014;02/28/2014;CERRADO;2552989;20;ITW Anexo 11;;N;1;;21;;;;21;;;;1;Bajo;;;;261;132;23;2014;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;;8;1;;13-902 Administrativos 2013;13-902 Administrativos 2013;;;;;0;01/01/2013;12/31/2013;CERRADO;;;;;S;1;;21;;;;21;;;;1;Bajo;;;;294;135;61;2013;84;152;144;176;176;160;184;176;160;184;152;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;;8;1;;13-902 Administrativos 2013;13-902 Administrativos 2013;;;;;0;01/01/2013;12/31/2013;CERRADO;;;;;S;1;;21;;;;21;;;;1;Bajo;;;;295;135;30;2013;176;152;144;176;176;160;184;176;160;184;152;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;;8;1;;13-902 Administrativos 2013;13-902 Administrativos 2013;;;;;0;01/01/2013;12/31/2013;CERRADO;;;;;S;1;;21;;;;21;;;;1;Bajo;;;;296;135;16;2013;176;152;144;176;176;160;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
